date,rainfall_departure_pct
1998-08-01,0.98
1998-09-01,26.36
1998-10-01,50.76
1998-11-01,20.76
1998-12-01,5.48
1999-01-01,-2.14
1999-02-01,-50.43
1999-03-01,-67.26
1999-04-01,-30.96
1999-05-01,54.23
1999-06-01,1.58
1999-07-01,2.32
1999-08-01,-16.37
1999-09-01,1.31
1999-10-01,57.0
1999-11-01,-47.21
1999-12-01,-52.88
2000-01-01,17.95
2000-02-01,29.42
2000-03-01,-18.59
2000-04-01,8.87
2000-05-01,24.71
2000-06-01,8.01
2000-07-01,-10.36
2000-08-01,-3.61
2000-09-01,-16.36
2000-10-01,-33.29
2000-11-01,-51.43
2000-12-01,-35.18
2001-01-01,-38.07
2001-02-01,-48.66
2001-03-01,-12.28
2001-04-01,23.16
2001-05-01,15.45
2001-06-01,15.23
2001-07-01,-9.11
2001-08-01,-16.34
